author_id,time_in_seconds,timestamp,badges,video_offset_time_msec,time_text,author,message
UCUtD1G8Hqsts88_O-7yq6rw,23,1597516945137400,,23820,0:23,Flaming Timelord [FTL YT],yes
UCTpCdZC7SN_e_b_WbXAB9Pg,24,1597516945546911,,24230,0:24,Adeeb Harb,hello techno
UCWg0REbsm4tJGUx3qyE-D4Q,24,1597516945778579,,24462,0:24,Matthew Soliz,hiiiiiii
UCuAgmCiidi-CJZnHX7NrFkA,24,1597516946269622,,24953,0:24,Vigro Vigro,YESSIR
UC0eNsWM9JmTXTWPqr-pn5jw,25,1597516946695944,,25379,0:25,Andrea Gaio,💪🏼techno
UCY6aLI_yUA_agqDW0N37R-g,25,1597516947058536,,25742,0:25,MiniMin,late
UC2LdLajWor6s8m4iAiP0GDw,25,1597516947102267,,25785,0:25,Tiny noob,Pog
UCTG1E80Dhz4_StaFroGw-2g,25,1597516947109675,,25793,0:25,owo soph,YES
UCs5tZ3mvthQLSjIgW0ASICA,26,1597516947313535,,26025,0:26,Gavin Chen,Yesss
UC59Wrf6gBE580Cfb-LtY9gw,26,1597516947396955,,26108,0:26,Grafik Komputerowy,POGGERS
UC8NoZh9K5avbiwBpn3gAa8w,26,1597516947504811,,26216,0:26,Pikpi Art,pog
UCzJDEhkGWl8FIOqxeGMDl0w,26,1597516947948569,,26660,0:26,Ulti2407,hey
UCwFMRHHDqG7GlUa4Ak5P3hg,26,1597516947971177,,26683,0:26,Finlay Waddington,Let’s go
UCnYAmDmvYSvgZGHs1x5q1VQ,26,1597516948221297,,26933,0:26,ttteeedddoooggg _,POG
UCqYKlwubYWzrsR5W26mR8cA,27,1597516948492943,,27204,0:27,amon,WOAH
UCET-sIJ13b0tqbELwqGvE4Q,27,1597516948811445,,27523,0:27,Nick Olinger,POG
UCVpdj9F0h4ipq2R-kZ_JWgw,27,1597516949018535,,27730,0:27,Classia _I,TECHNO
UCHSI4-AMJbYpjPa_Bu_K30g,27,1597516949304988,,27987,0:27,Temsaya,hello
UC7N-W7J1XJyY_u3a1hsRR4w,28,1597516949372064,,28054,0:28,IAmCatto,Aa!!
UCSSjZqHhNHjhBE9UBcA4Hig,28,1597516949412360,,28094,0:28,nice,TECHNO
UCYz4Xw6U0igQT7r2HsMDsug,28,1597516949419860,,28102,0:28,Arnbjørn Bjarnarson,yew
UCtj7PRlSMHrTOPKSf39IQjA,28,1597516949606133,,28288,0:28,allison will,OH YEAH
UCH8wX4yfTLRUpStpA_xykYQ,28,1597516949714439,,28396,0:28,TheRealSepTive,Yooooooooo
UCIsanlO9OF-ORqIp5pRSlww,28,1597516949787865,,28470,0:28,Piotr Wiśniewski,YES
UCLuSMBppIcvKjNnttf1KfWw,28,1597516949921842,,28604,0:28,CaptBlade,EZZZ
UCyNDJ5upiQAPLvL4ZORCnJQ,28,1597516949973885,,28656,0:28,Excitin,TECHNO
UCzUQo7gDqB4MYrNhVyoOEKw,28,1597516950091834,,28774,0:28,[] bread [],HELLO
UCRN2ciA4MEM6U793FOwfmzw,29,1597516950813183,,29495,0:29,CrackerWhacker,:elbowcough:
UC3BuLToyzcnAopfJTJe7KgQ,29,1597516950821370,,29503,0:29,MILIAKTS HAVEN,Techno lets win
UCWztEzepZrviyIEnINuborQ,29,1597516951119089,,29801,0:29,Rianna :P,AYOOOOOOO
UCBSFUNf_qYQ1SajDhBbco9Q,29,1597516951165899,,29838,0:29,Mia Alvarez,HI
UCgGhazqOP5za1UVFS9yuUQg,29,1597516951271908,,29944,0:29,Nate Fryling,Techno
UCMDykvPAulYF9pPScGfNB5A,29,1597516951299630,,29972,0:29,Jack Cooley,YEEEEEEEEEEAH
UCgEZhENV8p3_KrlbUh9RRJw,30,1597516951330259,,30003,0:30,Sam -,YAAAAY
UCmp5YYyrKHsI0dbVMZ9DItQ,30,1597516951447302,,30120,0:30,Adele Christian,HELLO HELLO
UCWcN9xlqJndUzawvEzRP3ag,30,1597516951485614,,30158,0:30,Sammi.3x3,LMAO
UCG5--7RaDKfe5g4fudoStRw,30,1597516951730416,,30403,0:30,Random person on the internet,Ok
UCafpHX_OU0NJ2CHihvQUqCA,30,1597516951899610,,30572,0:30,KENNOODLE,hhhh
UCVzsGmkLqn383DQc4lM86Yg,30,1597516952162252,,30835,0:30,Denreib,woo
UCAyAvYPk1_ML58qR2BUCrAw,31,1597516952406995,,31079,0:31,Creator 290,REMEMBER TO SPAM USEFUL TIPS DURING MCC INSTEAD OF JUST CATCHPHRASES
UCUbK0ML2ktO_L6Uv8PAatKA,31,1597516952485544,,31158,0:31,Dragonflight55,Technosupport
UCS0OwNbdQAMtsZtq4wzwnVQ,31,1597516952919397,,31592,0:31,Vaca the Cow,technosupport
UCTrZ4piYATSfEvyxLtMOnXw,31,1597516953088986,,31761,0:31,Tom Steed,hello
UCEfcn5tFkQnzkBoM60bLgcg,31,1597516953099213,,31772,0:31,ariessing,YO
UCE7TP_RCgBVpll0PY4JGpQQ,31,1597516953213214,,31889,0:31,Clyst,TECHNO STREAM
UCWSRHzKtHTExoRcHNp4tzKg,32,1597516953463349,,32139,0:32,Xymah,Heyyyy
UCc2C9iSGYEkDMxrk1FxMo0w,32,1597516953513706,,32189,0:32,TakoKing2121,why are people stanning over techno and dream
UCYxzrLUCp2iL5Vy0vgKZ8ew,32,1597516953723608,New member,32399,0:32,Miniwa,LETS GOOOOOOOOOOO
UCeQ4hxd1Ve77d3V_RpjSolA,32,1597516954031534,,32707,0:32,Synatic Dez,Yooooooo
UCe3Om_SAND8r3l59kF8v2NQ,32,1597516954034081,,32710,0:32,Zup Cun,POG
UCJMTPzEN92JK0SkEqCR8WlQ,32,1597516954157269,,32833,0:32,Catthewood 74,Pog
UCRRnAwfpsG8FDIdG-8bJ6_A,33,1597516954415817,,33092,0:33,aeriesdreaming,TECHNOO
UC1c-m5vLrKhAdfLpvfTmA1Q,33,1597516954501149,,33177,0:33,KonradGamerTV,Hi
UC0AAL-Bj2bFaN6Q-juYy5Jg,33,1597516954595389,,33271,0:33,amnxsi4,POGGGGG
UC8GDBFmh7kMA79Edhd15B-g,33,1597516954904541,,33580,0:33,sqntax,HELLLO
UCzfMlzIIrrBtlUpI9knNmlQ,33,1597516954929708,,33605,0:33,Dominio’s Pizza,Pog
UCMY0hKlTK2g0HtcbF4aGX0w,33,1597516955005992,,33682,0:33,Darklight._. World,HELLO
UClqS7jFNtjoM4S85MXcuJ5w,33,1597516955353270,,33887,0:33,NitroRabbit,POG
UCuHDmPchUvgjV4Ti_EPedRA,33,1597516955381802,,33915,0:33,siria.,hiiiii
UCrBFTBnqW832JVYl1pUqoOg,33,1597516955429245,,33963,0:33,Jordan Plays,Hi
UCntRcIIx57xNjS0fcAqzj1g,33,1597516955436905,,33970,0:33,FreeeShavacado QT,Pog
UCDkblkwWOrseTtAhUaSKo3g,33,1597516955445166,,33979,0:33,postscratch,HEYYY
