author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
MrRedEnderman,UCn2PsvVtKm6xsffXGrcwXGA,,Asha Mahendra they launching in about 43 mins,332,5:32,1596107235551079,332122
Suchith Ms,UCzmiUghVfgSIDjT99dqEjZQ,,good luck,332,5:32,1596107235904525,332475
Su tart Gaming,UC-pY2CEUyDjC4_TUvm2AJeg,,Let’s go to mars,333,5:33,1596107236621173,333192
MotherBroker,UCiwjaMOkxAflnAj9geycBPg,,@CocaLight-Yagami wsh zebi,333,5:33,1596107236643467,333214
Gaming News,UCUdHazcOD3CAewbOcoedbcg,,My name is going on Mars,333,5:33,1596107236898093,333469
엔트리비트TV- 초보 엔트리 가이드,UCjIDPcPzbi4MKPeq0m5pn9Q,,hi,333,5:33,1596107237125402,333696
Verecion,UC-hggMfYSrLvoRVlMB-P3Kw,,здесь,336,5:36,1596107237844373,336012
Jerry Gao,UC3qiUqssx1qkmb_ICyOswMA,,hi,336,5:36,1596107238408094,336576
svetlana Matovic,UCJibJn3NuetgkOL9UlXe99g,,yay,336,5:36,1596107238502305,336670
Savita Rathore,UCev-vTnakx6DiI2DcoWiJxQ,,hello,336,5:36,1596107238538930,336707
Kyung-tak Yoo,UCIES9IHBnvkw_iX8_RrVPAg,,오오.... 43분!,336,5:36,1596107238603739,336772
Viola,UCZFAb4aeQv_vNsmDidkdKNw,,this is exciting,336,5:36,1596107238800763,336969
Aaron Peavler/Geomodelrailroader Railroad Photography,UCC8QETEJOnArHx2OqJx8kFA,,here we go lets go to MARS!,336,5:36,1596107238818556,336986
Islam Net,UCJPyxXsnTbj7X7GtHmUE0Wg,,helo i'm from indonesia,337,5:37,1596107239033309,337201
Darria Geangoș,UCVg9_-CSmcbz_UKuvSvzjuQ,,our names are there guys👍,337,5:37,1596107239058984,337227
Phạm Thanh Thư,UCNck-FFdeGRjj6VHIKhBtRA,,Việt Nam,337,5:37,1596107239085152,337253
Joanna Dela Merced,UCtAhPAOH2_3OuD18o3EODkg,,Yayyyyy! I’m ready!!,338,5:38,1596107240007854,338176
ALL IN ONE -TV,UCo7RjsQF70Sbvb63x932h2w,,hi,338,5:38,1596107240058180,338226
Titan,UCg_HAEbWt31xWfs6JPxxmPQ,,Excited,338,5:38,1596107240461730,338630
DA tech,UCzZ33Ynl1276yt7ROGIDHHQ,,go nasa go nasa,338,5:38,1596107240550991,338719
lemon squeezy,UCqXViG9WnX4KJLqiRWhtP1A,,let's go iron man 💪🚀,338,5:38,1596107240764633,338932
DARK PUMA,UCwZoH3Vg_sTf5DCeCQiPmKQ,,barış özcan a izliyor,339,5:39,1596107241365452,339533
Tejasw Sonkar,UCPeV8F2SUKtY9Ao3jDDTtcg,,from india,339,5:39,1596107241483662,339651
Sof,UCi7m42wJEyx4B1olrxzYSXg,,t,341,5:41,1596107243951135,341567
Hauzan Ghali Pasha,UCUOUiI_F6fI1fRr345w2P8A,,YASSS,341,5:41,1596107244067246,341683
Rəvan Kərimli,UCml_k5e8zIVm_vZQMN_bnKg,,OMG,341,5:41,1596107244141675,341757
Bhavesh Moon,UCRPizqNQuCNSdGf65scxaBw,,first india,341,5:41,1596107244240113,341856
Blayn,UCi3pfvri0VYVpx3O1CgXoyQ,,hii guys,342,5:42,1596107244519249,342135
Jostak,UCXCbX_iXW3Ap4TXw7jtqOKw,,Greetings from Poland,343,5:43,1596107245525356,343141
mrwestmb,UCYuixS8pyWmjMO6SX6yunXA,,the Netherlands here,343,5:43,1596107245666122,343282
"Scoring digits, son.",UC8qMWXlLl8bArWMYeE8AcCw,,Y r u geh?,343,5:43,1596107245743719,343359
Ginera 555,UC44RIcuNWufXHIa7bCT_Dzg,,Good luck,343,5:43,1596107246208370,343824
Yufsu,UCwRO4evl_Jg-7R5Q6jvy0wg,,baris Özcan izleyin o daha iyi,343,5:43,1596107246302050,343917
LUIZ ROBERTO CIDRAL,UCg22mTZeaCRbk0wa8fRd0IA,,Here we go again!,344,5:44,1596107246527775,344143
Roo Gaming,UCFa1GlJ2W38XmyDuO4JtAJQ,,ola,344,5:44,1596107246682601,344298
KÑÎFÉ ÑÇ,UCQxl2N40ezjPyqM3Q1Kcuqw,,from India,344,5:44,1596107246860937,344476
sn0r,UCxmQ3erxc85G4ggTgEKapLQ,,good luck from the Netherlands!,344,5:44,1596107247241304,344857
Tarun Popstar,UCuErtyOuvBAMF3fWFou1jTg,,Hi,344,5:44,1596107247301518,344917
Ivan Rodolfo,UC45UAzmYSWPWqv2YdFUGqMQ,,Hello,344,5:44,1596107247343528,344959
Çakma Rıza Baba,UC1dzpjCCjLJXGwtL66IV9tA,,türklerrrrrrrr,345,5:45,1596107247386142,345002
Daniel lynn,UCJVH80PJ848UrYBXvWz2kSw,,what if send a corpse to mars 🙄,345,5:45,1596107247420071,345035
Feroxxi,UCpedwobQwJSzHshvC2PasjQ,,who here have put their names on this rover,345,5:45,1596107247566170,345182
ZS IS THE BEST,UCZO5yLnxdmkHuf6SeXJM8kA,,Hi from aus,345,5:45,1596107247601118,345217
loannez,UC3XjYPQPDZ4OMQrlX0-uMmQ,,YOOO,345,5:45,1596107247624818,345240
francesco sidoti,UC9rebOTgqviVJbn6GXYTZkA,,Why is the guy sitting in front of the countdown,345,5:45,1596107247791612,345407
M4GN3T YT,UCDuBmwSDPVCRn9g1NVQN1ew,,türkler burdamı,345,5:45,1596107247916669,345532
Vilborg Baldursdóttir,UCzdxHv-6T0rPipHtMf-rRbQ,,Fylgist með frá Íslandi,345,5:45,1596107248163100,345779
Creative Thinking,UCkUxPEDEUSb0yho1mrflxIw,,love u nasa,346,5:46,1596107248244301,346687
Kezume Kun,UCEwO1BFm7E34SMvWHpz5I5A,,hello,346,5:46,1596107248530784,346974
한우주,UCMO27MsNkmT9GrHAQIoeMvA,,hello,347,5:47,1596107248628148,347071
SARANG PATIL,UClDQcoxQAdyZzf0HfM1ZQrA,,Indian,347,5:47,1596107248651927,347095
Lhai Mhel VLOG,UC0uZ4jMwjKRFs1zdmALJCTA,,amazing!,347,5:47,1596107248861825,347305
Varun mehta,UCqDiuw1qdrCYbTu83eWIXFQ,,hey everyone,347,5:47,1596107249085007,347528
Vatsala Parmar,UCOqTqJG-GtUgNsNQDojKwNw,,😍,348,5:48,1596107249950573,348393
Nicholas Skevis,UC7pubemceH97fc4fPGRXvBg,,Hello from Greece.,349,5:49,1596107250584883,349028
Aniket Bagade,UCQd8k1IAIszmjgQebbq5oVg,,all the beat Percy love from Space endeavor,349,5:49,1596107250602070,349045
Rekha Mandal,UC72jT_ZdAi7TuC9srJ4lMWw,,hi:thanksdoc:,349,5:49,1596107250669203,349112
Aaron Grilanc,UCfJEAVDT1c0J6M64ZYDsqIw,,hi from Australia,349,5:49,1596107250748871,349192
Neslie Ann Javier,UCMP1dWiyy8uGbcHZWvqfSww,,hi ! from philipines 😊,349,5:49,1596107250791709,349235
AKSHAY UIKE,UCUZFAI3qeyzdj3ADSt-1M7w,,love nasa❤❤❤❤❤,349,5:49,1596107250916456,349359
Trend İnternet,UCj7GxqZZvVsIDrx1shRiACA,,YEEE TO THE MARS BRUH,349,5:49,1596107251173569,349616
It depends,UCu7y7fWP0fSn0_NwpU2uN7w,,yo,349,5:49,1596107251197015,349640
Luis Hau,UCSC_KA8OPhPeGWzaSBBD3QQ,,♥,349,5:49,1596107251241176,349684
Siddhardha,UChtinjSGErhok6TV26PUzAw,,hi,349,5:49,1596107251323923,349767
Jonthan Grima,UCp-rtpe3xMxuS6ExP789S7A,,Can’t wait 😊,349,5:49,1596107251444399,349887
sumera imtiaz,UCqU3RnyU1WkN89eFHmnadew,,go rock,349,5:49,1596107251469560,349912
Chris Edwards,UCXRE8J-8Ri3XbVQ6aVNOaSQ,,hello!,350,5:50,1596107251845820,350289
William Arniold,UCy6Oi_VP4dz7dskdgp8Nb1g,,# NASA,350,5:50,1596107251897809,350341
Francisco Oliveira,UC35ArLJw7LsnXkfdGlUzr7A,,Estamos juntos nisso!,350,5:50,1596107251952858,350396
Florida Eres,UC6kPpRQcXuUn6waOTgmIdrw,,hello,352,5:52,1596107254676407,352219
Matias Ezequiel Lopez,UC2oRuz2cO4Xo1KK8SDxbYmg,,Hello!,352,5:52,1596107254687874,352230
Rinaldo Bergamini,UCj1iPOdViF9UbMSBjj3yeBQ,,Go Percy!!!!!,352,5:52,1596107254852799,352395
Priscilla Araujo,UCANSzmyb9C8dqKzYLmeqjEg,,ñ,352,5:52,1596107255016631,352559
cfso6342,UCnlQnu8RixLQJDAZbP0yilg,,nasa加油！,353,5:53,1596107255579211,353122
Wagner Aguiar,UCAVRN9GjeV3QuP63apAeYIg,,Bom dia MUNDO. Brazil.,353,5:53,1596107255809823,353352
Grace Robles,UCjiBPmkfEuHu4LxuvJLL1AQ,,hello,353,5:53,1596107255942458,353485
Anisa & Adi,UCMgBb0ahOQtxhvLyFKI_wyw,,Indonesia.,353,5:53,1596107256167765,353710
Görünür Bilim,UCAQ8hZECngaF9Oyy49KRuSg,,TURKEY,354,5:54,1596107256517813,354060
papapio13,UCUj-2fWH8Rt_b1dnczP9pzw,,good luck,354,5:54,1596107256523046,354065
Illuminati pro YT,UCbslbVRhQlqubeoBtr7SR9g,,HYPE!!!!,354,5:54,1596107256751909,354294
Olive S,UCcCg4G8fn2ZCuTcIHGPFxig,,wowww,354,5:54,1596107257380335,354923
Ajay Kumar,UC_wje6qIQG078dE1LbqtitQ,,India,355,5:55,1596107257464290,355007
A. S.,UCRL8piu1oRGNNaKIzsMcS6g,,LOVE NASA.... LET'S GO TI MARSSSSSSSS.. GOOO NASA GOO NASA GOOO.. ONE DAY I'LL BE THERE,355,5:55,1596107257850152,355392
Baran Gül,UCCzoz92zFLc01YK91nmBJfQ,,Hi guys!!!!,355,5:55,1596107257903035,355445
Lenard Basinga,UC6arVvlFRcki6ppHb-NS0XA,,💖💖💖✨,355,5:55,1596107258040454,355583
its -,UCYvrbkSqm7Mahx69qbthZjg,,Leetss goooo,355,5:55,1596107258153136,355695
Mehran HJZ,UCBOSsx1Wm1GuUGuFg-AUUwA,,Hi from Iran,355,5:55,1596107258385863,355928
Eunice Félix de Souza,UC-3xDnBksVPNQ59s0xKe_0w,,WWWOOOOOOOAAAAH,356,5:56,1596107258570645,356113
Fazan Kashal,UCUM1xvn8aEZYmexiZrXwSww,,good luck from india,356,5:56,1596107258726858,356269
Rakesh Roshan Pradhan,UCkP4j6N0tir7zhSiBxfQBdA,,go NASA,356,5:56,1596107258746405,356289
