author,time_in_seconds,time_text,timestamp,author_id,amount,message,ticker_duration,video_offset_time_msec,header_color,body_color
Jiří Kuneš,90,1:30,1600376580329971,UCb-2EYnpCIh3nMVPdogtsiQ,CZK 50.00,a,,90564,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Jiří Kuneš,90,1:30,1600376580329971,UCb-2EYnpCIh3nMVPdogtsiQ,CZK 50.00,a,120,90564,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Alex,91,1:31,1600376518060314,UCgKz6_P1A_gbhguiXCYkmcQ,CA$20.00,city pop shark,,91201,"{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}"
Alex,91,1:31,1600376518060314,UCgKz6_P1A_gbhguiXCYkmcQ,CA$20.00,city pop shark,600,91201,"{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}"
KongoBongo 金剛ボンゴ,91,1:31,1600376518562691,UCAEq_3Lfyv-A_dUh-UdRmTA,$5.00,Shaaaark!,,91732,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
KongoBongo 金剛ボンゴ,91,1:31,1600376518562691,UCAEq_3Lfyv-A_dUh-UdRmTA,$5.00,Shaaaark!,120,91732,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
delinquent boy,92,1:32,1600376519527289,UCdFSYqUi6WG2graZobvMjRQ,$19.99,THANK YOU SO MUCH FOR YOUR RHYTHM GAME STREAMING IT MAKES ME SO HAPPY YOURE MY FAVORITE. SHAAAARJ,,92768,"{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}"
delinquent boy,92,1:32,1600376519527289,UCdFSYqUi6WG2graZobvMjRQ,$19.99,THANK YOU SO MUCH FOR YOUR RHYTHM GAME STREAMING IT MAKES ME SO HAPPY YOURE MY FAVORITE. SHAAAARJ,600,92768,"{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}"
BearWizard,93,1:33,1600376526494145,UCnvFpthV66Cp4Hh_d6d_mRw,$5.00,a,,93151,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
BearWizard,93,1:33,1600376526494145,UCnvFpthV66Cp4Hh_d6d_mRw,$5.00,a,120,93151,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
