timestamp,author,time_in_seconds,message,time_text,badges,video_offset_time_msec,author_id
1597882485314668,Mason Williams,12712,JESUS,3:31:52,New member,12712671,UCc_m5-YuTfC4PtQqVoHeDTA
1597882486768704,Dan The Body,12714,that aim tho yikes,3:31:54,New member,12714133,UCOv_aPmVv7_oCMH8dxkHt0Q
1597882487516863,ghstbstr,12714,Doc needs some more ice cream. lol,3:31:54,New member,12714882,UCq11f-W0blwuXp7H71N7eqw
1597882488468169,Auston the goat whisperer,12715,roll bruh,3:31:55,New member,12715833,UC_7RlwLis6__xhWyGv5hGqw
1597882490096511,Prism _,12717,This game looks awesome,3:31:57,New member,12717404,UCtf3xFitSiL2IYTpbBF_wzw
1597882490560788,SingStream,12717,pepegaaim,3:31:57,New member,12717868,UCeZrNwx5cVoUFQygjDuiYUA
1597882491259938,CPT Sprinx,12718,What is this game?,3:31:58,New member,12718567,UC2FO3wIQDxgjJzFMKOMsxYA
1597882491437012,OSHY,12718,CHECK THE ROUTER,3:31:58,New member,12718744,UCD91GqoV2S5UYt6j1BBAoUw
1597882491498984,MilkManPictures,12718,That wall is dead,3:31:58,New member,12718806,UCfpogbiscDeabDWaypkbwXQ
1597882492035587,Trenton Bruner,12719,Nooooooooo,3:31:59,New member,12719343,UCIGmk8XwAErHd9gcFYFH2hQ
1597882492742798,marshallbenn33,12720,give em the love,3:32:00,New member,12720054,UCwkCMmIbUZ2AL1-K62HfSqg
1597882492775757,skela_nate,12720,that music tho :_Handshake::_Handshake::_Handshake::_Handshake:,3:32:00,New member,12720087,UCoNsVaOTkXPIAwtaH2ohRNA
1597882493017981,Marcus,12720,nice aim punk,3:32:00,New member,12720329,UCDyk8yGueSy2QSpJ1sOsjxA
1597882493027564,OneBAJeepGuy,12720,Yayaya :_Yaya::_Yaya::_Yaya::_Giggles:,3:32:00,New member,12720339,UCdht6T2Nv5XzkumNoORXl9Q
1597882494590270,Tenekai,12721,"I like the gameflow, but that character movement needs to be worked on",3:32:01,New member,12721902,UCJ1GkxQTkCsgENQXVgwEv9Q
1597882495039012,marshallbenn33,12722,tonight,3:32:02,New member,12722362,UCwkCMmIbUZ2AL1-K62HfSqg
1597882496073991,Lynx Linux,12723,this is fine,3:32:03,New member,12723397,UCcfME6wHEqYPoQwLrbxDosQ
1597882496155598,SmokeThatBro,12723,that never happened,3:32:03,New member,12723479,UCG3OqPwBqkrMSzR_35_X71w
1597882496850946,Dvin Zargarian,12724,NO PRESSURE DOC,3:32:04,New member,12724174,UCbjsVMS9PZ51J6u1FP6z6dA
1597882497399770,Husky Cards,12724,lol this game is all positioning and no gun skill.......borrring,3:32:04,New member,12724700,UCGEw6NUSg55iwWaXLreyn5A
1597882498131472,Dvin Zargarian,12725,❤,3:32:05,New member,12725432,UCbjsVMS9PZ51J6u1FP6z6dA
1597882500914416,Crypto chacO,12728,Might have to switch your Google prototypes Doc!,3:32:08,New member,12728247,UCptxzoqUlqFWJv30k4Z33VA
1597882502533596,Chris,12729,myyyyy favorite,3:32:09,New member,12729866,UCBJx0Lkrd8CGLNGzTnDCVoA
1597882503342526,Champions Club Mail Carrier,12730,TOO MUCH pressure for my hairy sausage,3:32:10,New member,12730666,UCIjgqpDV3TLfcjlFDDpKNbg
1597882504162729,Killpopkulture,12731,Forward the ports,3:32:11,New member,12731486,UC9GgEZH2VZKpVqbNNI-1BfA
1597882504444337,Citrine Vibes,12731,Doc was just in an action film,3:32:11,New member,12731768,UCBms_GRveTMQUQ0a0wVau0w
1597882505935481,Hipsterghost,12733,yayayayayayayayaya,3:32:13,New member,12733256,UC8irFSYadMGT5Dv9ageK1Gw
1597882506291011,WesleySnipes,12733,doc is greatest,3:32:13,New member,12733612,UC2Z9A0gnPJS7gfPAv4tmC6g
1597882507136386,Nightbot,12734,New Dr Disrespect Merchandise - https://championsclub.gg/,3:32:14,"Verified, Moderator",12734457,UCSvjQBDgYDB5TGVmCZObcwA
1597882507599825,Eatmyturdd,12734,:_Giggles::_Giggles:,3:32:14,New member,12734921,UCheOTjBA7Y9pKT813y8a90A
1597882508494312,Ewan,12735,get em doc,3:32:15,New member,12735841,UCwBMIgDbKytz52ECUPPG-Zg
1597882509235257,Dinowaan,12736,go go Doc 😁 TakeNRG,3:32:16,New member,12736581,UCIjb7cZK3AIaz3K48ogZM5g
1597882512588270,ooglaboogla555,12739,sick,3:32:19,New member,12739947,UCYo2dpv01E_hzla6NtK1Xrg
1597882516153781,Krombopulos Michael,12743,LETS WAKE UP,3:32:23,New member,12743483,UCG7XkaFPARH6hNM6otEdIPg
1597882517155160,Trenton Bruner,12744,yess,3:32:24,New member,12744484,UCIGmk8XwAErHd9gcFYFH2hQ
1597882517610679,Mayo,12744,rank mode !:_Yaya:,3:32:24,New member,12744939,UCf4AcloR8An12RbHD4MdrXg
1597882518224253,Citrine Vibes,12745,Fly like an eagle,3:32:25,New member,12745567,UCBms_GRveTMQUQ0a0wVau0w
1597882518525676,CPT Sprinx,12745,WHAT IS THIS GAME?,3:32:25,New member,12745868,UC2FO3wIQDxgjJzFMKOMsxYA
1597882520116324,Nicholas Bleker,12747,Cool.,3:32:27,New member,12747459,UCcrsr1qHr1TQsFssucxPSfQ
1597882521178145,John Smith,12748,You got timmy two tenders on the squad doc,3:32:28,New member,12748485,UCo__EHIlONG7NX4eF2woTAg
1597882521735508,Jello Master,12749,Warzone,3:32:29,New member,12749042,UCmAcAF1fwnn9QK7E79QGGnA
1597882526582677,Heath,12753,closed beta,3:32:33,New member,12753878,UCfzufpUbIMt3Y3DvAj0kRJA
1597882526658732,lochnarus,12753,who wears white pants to a gunfight,3:32:33,New member,12753954,UC96-NGEqT9SkAMAUd0tFP4w
1597882527601723,Mason Williams,12754,yes,3:32:34,New member,12754897,UCc_m5-YuTfC4PtQqVoHeDTA
1597882527631626,ShadowWolfLP,12754,"can't wait to see the arena in the game, doc",3:32:34,New member,12754927,UC1TmeowtW5QaL2CwgF5ZU5Q
1597882529435171,Han Dolo,12756,Closed Beta,3:32:36,New member,12756741,UC-ux81u1AGz6y70LnzPyudg
1597882530177675,Mason Williams,12757,open beta,3:32:37,New member,12757484,UCc_m5-YuTfC4PtQqVoHeDTA
1597882531809419,Barrels,12759,paid beta,3:32:39,New member,12759129,UCSzQ-iDi28IiM9k2XVQRQeg
1597882531857135,DmG Fusion,12759,closed beta,3:32:39,New member,12759177,UCmw8oVQiu_WYPHXXg-FOYfg
1597882534991204,kingjappyjoe420,12762,iS THIS Hyperforce?,3:32:42,New member,12762324,UCli7CSJDZHmmQe4Pdk1ZhIg
1597882535229451,Silvertrooper,12762,how do you send donations ?,3:32:42,New member,12762563,UC_QvjTezVoNZm7V6UpjrGvA
1597882535300261,Kraytos X,12762,Better not be a better for $15,3:32:42,New member,12762633,UCE05qGj0Xkv8ISIV0ZAJH9w
1597882535518609,PHILMSTOCK,12762,Wait for the hackers,3:32:42,New member,12762852,UCrPaTQO2eqJDrwvdrGetfsQ
1597882540737399,Mason Williams,12767,closed?,3:32:47,New member,12767992,UCc_m5-YuTfC4PtQqVoHeDTA
1597882542806402,Claytz,12770,BLOOM,3:32:50,New member,12770167,UC-iM1VdbAtq4dtFfBK8AGSA
1597882542969816,DNC STU,12770,every game is open beta these days,3:32:50,New member,12770330,UCJ38dJUgcsWx57JOj1zvSUw
1597882543399686,Killpopkulture,12770,Intense situation lets jump right into the action!,3:32:50,New member,12770760,UC9GgEZH2VZKpVqbNNI-1BfA
1597882543810752,Dvin Zargarian,12771,Get that BETA DATA,3:32:51,New member,12771171,UCbjsVMS9PZ51J6u1FP6z6dA
1597882544290586,chrm421,12771,"Yeah, open (paid)beta",3:32:51,New member,12771651,UCibtaNWsXRa_ROyrRV_WKOg
1597882545185922,Heath,12772,closed beta,3:32:52,New member,12772531,UCfzufpUbIMt3Y3DvAj0kRJA
1597882545952922,Mason Williams,12773,"anyone can play, it's open",3:32:53,New member,12773298,UCc_m5-YuTfC4PtQqVoHeDTA
1597882547816797,Chris,12775,slice em up!!!,3:32:55,New member,12775126,UCBJx0Lkrd8CGLNGzTnDCVoA
1597882552369526,Diiablo,12779,game seems poised for mobile rollout,3:32:59,New member,12779701,UCSvVqPX6FU83TtOCH9cAtAw
1597882555123255,SmokeThatBro,12782,so cod is more about gun skill explain howwhen the guns have no recoil,3:33:02,New member,12782472,UCG3OqPwBqkrMSzR_35_X71w
1597882555918886,Ewan,12783,peak,3:33:03,New member,12783267,UCwBMIgDbKytz52ECUPPG-Zg
1597882557427643,johana,12784,nice.,3:33:04,New member,12784741,UCBjKzbnpTxd40rT9Lmqe9xA
1597882557605939,Nicholas Bleker,12784,This game will be huge when it’s on steam and fully released.,3:33:04,New member,12784919,UCcrsr1qHr1TQsFssucxPSfQ
1597882557911629,ghstbstr,12785,Rogue,3:33:05,New member,12785225,UCq11f-W0blwuXp7H71N7eqw
1597882558289898,Citrine Vibes,12785,DOCWICK,3:33:05,New member,12785603,UCBms_GRveTMQUQ0a0wVau0w
1597882558380356,Feddy,12785,clutch!,3:33:05,New member,12785693,UCExvNRWSgUaYs9lbqXLKDCw
1597882562935848,SANTINI.IO,12790,I never got a notification for todays stream. I wonder why?,3:33:10,New member,12790244,UCOrN_jAondm4l7i-4if7unw
1597882563728702,Tenekai,12791,jebaited,3:33:11,New member,12791036,UCJ1GkxQTkCsgENQXVgwEv9Q
