timestamp,ticker_duration,time_text,author,body_color,header_color,amount,time_in_seconds,message
1595761150443926,,0:06,Runato,,,,6,Welcome to 常闇Family!
1595761150443926,300,0:06,Runato,4279213400,,,6,Welcome to 常闇Family!
1595761151106398,,0:06,たう,"{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}","{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}",¥200,6,
1595761155348690,,0:10,みずみ水無月,"{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}","{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}",¥200,10,3Dおめでとうトワ様！！:_トワ文字:ating!!!頑張って！！
1595761158919935,,0:14,yusan toon,"{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}","{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","¥2,000",14,3D化おめでとう
1595761158919935,600,0:14,yusan toon,"{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}","{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","¥2,000",14,3D化おめでとう
1595761176782535,,0:14,NaCoCo,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}",NT$150.00,14,Towa sama!!!
1595761176782535,300,0:14,NaCoCo,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}",NT$150.00,14,Towa sama!!!
1595761159880298,,0:15,kylethe6th,"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}",$49.99,15,
1595761159880298,1800,0:15,kylethe6th,"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}",$49.99,15,
1595761161939510,,0:17,ムスカ,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","¥1,000",17,
1595761161939510,300,0:17,ムスカ,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","¥1,000",17,
1595761162789308,,0:18,ベーコン,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",¥500,18,トワ様3Dおめでとう✨
1595761162789308,120,0:18,ベーコン,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",¥500,18,トワ様3Dおめでとう✨
1595761175656079,,0:18,Tyrfing121,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","¥1,080",18,トワ様3Dおめでとぉおおお！🎉🎉
1595761175656079,300,0:18,Tyrfing121,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","¥1,080",18,トワ様3Dおめでとぉおおお！🎉🎉
1595761167585427,,0:23,来人,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",¥500,23,大取がんばって！！
1595761167585427,120,0:23,来人,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",¥500,23,大取がんばって！！
1595761168214147,,0:23,EMC2JAPAN,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",¥500,23,トワさんおめでとう
1595761168214147,120,0:23,EMC2JAPAN,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",¥500,23,トワさんおめでとう
1595761168524356,,0:24,ruska,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}",HK$50.00,24,３Dおめでとうございます
1595761168524356,300,0:24,ruska,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}",HK$50.00,24,３Dおめでとうございます
1595761169115437,,0:24,Kirito Morina,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}",$10.00,24,
