amount,author,author_id,badges,body_color,header_color,message,ticker_duration,time_in_seconds,time_text,timestamp,video_offset_time_msec
,Joshua Williams,UCecHElVr73qaZ9gglglnSGw,,,,late,,138,2:18,1597517059308103,138007
,Ransack,UCRgzu5SoSVCvbyR1ICngT5g,,,,Late,,138,2:18,1597517059330937,138030
,Big Smoke,UC5YfB7XW7Vm0GwmbcehQoEA,,,,late,,138,2:18,1597517059377425,138076
,Тагир магамедович,UCu46Nry_rWNgiLa80SjSk8A,,,,late,,138,2:18,1597517059380052,138079
,W Key,UCZHCa-Z06BxTxZ-qKaqVbkA,,,,Late,,138,2:18,1597517059453677,138153
,yelloyi,UCfd_RTPpPdVAbE_Dmeti6qg,,,,late :)),,138,2:18,1597517059578807,138278
,Out Yeti,UChAXImT8-AAOijNpPvHAqCQ,,,,Late,,138,2:18,1597517059802309,138501
,Giganotes 2000,UCfGnfkvNMElliN25zlMFxew,,,,Lat,,138,2:18,1597517060041012,138740
,Thomas Solbakken,UCOA80AR3Fi50t4LnVi4qGVg,,,,late,,138,2:18,1597517060078965,138778
,Bragi,UCuPaAEVi1AlK8crUJLwQD9A,,,,Late,,138,2:18,1597517060162201,138861
,Joseph Dean,UClILtFtgwOQvmNe8GMak4_A,,,,Late,,138,2:18,1597517060218536,138918
,MasterX1337,UCpltwFo522SyK6XHkGeAuJw,,,,EARLY!,,138,2:18,1597517060270966,138970
,haha memes go brrr,UCzZiugj5wsiIWYN5kvUU0Hg,,,,boi,,139,2:19,1597517060764136,139463
,I'm a Door,UC2hs7q-7TiWXUMg1nNbUNtg,,,,LATE,,139,2:19,1597517060766541,139466
,Brandon Venezia,UC4ejnF35uaXxvk0IVSR4IZw,,,,Łætę,,139,2:19,1597517061220607,139920
,Darasrat Thongnim,UCVWam-DJqaGXIsqlcNKwULQ,,,,Late,,140,2:20,1597517061621666,140289
,SkandaSkout,UC9fYNoB_o5IqQBGO_31ICYA,,,,late,,140,2:20,1597517061890198,140558
,Holden Schmitt,UCXpa5tiJ2eg8NEmo-eShP8Q,,,,latelatelate,,141,2:21,1597517062397543,141065
,Megan Gluck,UCAVyySj0HVsrAzOo-sMI7mA,,,,Late,,141,2:21,1597517062571370,141239
,Ellen M,UC-NHLizeSFouUuP9cOs7k6w,,,,late,,141,2:21,1597517062585586,141253
,alexandra,UCc85IZjPezqRjx36LFbzvkQ,,,,swore,,141,2:21,1597517062599568,141267
,Reed,UCYLWeGb6eNfOwWoDDUs-3MQ,,,,LATE,,141,2:21,1597517062944648,141612
,Bobcat,UCcqkZFzOpK3kWiIWpgb7-mw,,,,Early,,141,2:21,1597517063152683,141820
,Lucca Jacobs,UCq9JfXplnws2iXvBatDAg_A,,,,hello tecnooooooooooooooooooo,,141,2:21,1597517063215160,141883
,SHaDoWy,UCYJj4B_KfNQtlYAyJebtcRg,,,,late,,141,2:21,1597517063290572,141954
